,Request id,Pickup point,Driver id,Status,RequestTimestamp,DropTimestamp,Request Hour,weekday,Time_slot,supply_demand
0,619,Airport,1.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 13:00:00,11,Monday,Daytime,Supply
1,867,Airport,1.0,Trip Completed,2016-11-07 17:57:00,2016-11-07 18:47:00,17,Monday,Daytime,Supply
2,1807,City,1.0,Trip Completed,2016-12-07 09:17:00,2016-12-07 09:58:00,9,Wednesday,Morning_Time,Supply
3,2532,Airport,1.0,Trip Completed,2016-12-07 21:08:00,2016-12-07 22:03:00,21,Wednesday,Evening_Time,Supply
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Wednesday,Morning_Time,Supply
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Wednesday,Evening_Time,Supply
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Thursday,Morning_Time,Supply
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Friday,Early Morning,Supply
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Friday,Daytime,Supply
9,267,City,2.0,Trip Completed,2016-11-07 06:46:00,2016-11-07 07:25:00,6,Monday,Morning_Time,Supply
10,1467,Airport,2.0,Trip Completed,2016-12-07 05:08:00,2016-12-07 06:02:00,5,Wednesday,Early Morning,Supply
11,1983,City,2.0,Trip Completed,2016-12-07 12:30:00,2016-12-07 12:57:00,12,Wednesday,Daytime,Supply
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Wednesday,Early Morning,Supply
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Wednesday,Morning_Time,Supply
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Wednesday,Daytime,Supply
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Wednesday,Daytime,Supply
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Thursday,Daytime,Supply
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Thursday,Late_Night,Supply
18,535,Airport,3.0,Trip Completed,2016-11-07 10:00:00,2016-11-07 10:31:00,10,Monday,Morning_Time,Supply
19,960,Airport,3.0,Trip Completed,2016-11-07 18:45:00,2016-11-07 19:23:00,18,Monday,Evening_Time,Supply
20,1934,Airport,3.0,Trip Completed,2016-12-07 11:17:00,2016-12-07 12:23:00,11,Wednesday,Daytime,Supply
21,2083,Airport,3.0,Trip Completed,2016-12-07 15:46:00,2016-12-07 16:40:00,15,Wednesday,Daytime,Supply
22,2211,Airport,3.0,Trip Completed,2016-12-07 18:00:00,2016-12-07 18:28:00,18,Wednesday,Evening_Time,Supply
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Wednesday,Morning_Time,Supply
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Wednesday,Evening_Time,Supply
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Thursday,Evening_Time,Supply
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Friday,Early Morning,Supply
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Friday,Morning_Time,Supply
28,669,City,4.0,Trip Completed,2016-11-07 13:08:00,2016-11-07 13:49:00,13,Monday,Daytime,Supply
29,1567,Airport,4.0,Trip Completed,2016-12-07 06:21:00,2016-12-07 07:10:00,6,Wednesday,Morning_Time,Supply
30,1826,City,4.0,Trip Completed,2016-12-07 09:27:00,2016-12-07 10:27:00,9,Wednesday,Morning_Time,Supply
31,2102,City,4.0,Trip Completed,2016-12-07 16:09:00,2016-12-07 17:01:00,16,Wednesday,Daytime,Supply
